,路線名,駅名,設置年月
0,東海旅客鉄道東海道新幹線,熱海,1974/01/01 00:00
1,西日本旅客鉄道山陽新幹線,新神戸,1977/12/01 00:00
2,神戸新交通ポートアイランド線,南公園,1981/02/01 00:00
3,神戸新交通ポートアイランド線,貿易センター,1981/02/01 00:00
4,神戸新交通ポートアイランド線,ポートターミナル,1981/02/01 00:00
5,神戸新交通ポートアイランド線,中公園,1981/02/01 00:00
6,神戸新交通ポートアイランド線,みなとじま,1981/02/01 00:00
7,神戸新交通ポートアイランド線,市民広場,1981/02/01 00:00
8,神戸新交通ポートアイランド線,中埠頭,1981/02/01 00:00
9,神戸新交通ポートアイランド線,北埠頭,1981/02/01 00:00
10,神戸新交通ポートアイランド線,三宮,1981/02/01 00:00
11,大阪市高速電気軌道南港ポートタウン線,フェリーターミナル,1981/03/01 00:00
12,大阪市高速電気軌道南港ポートタウン線,ポートタウン西,1981/03/01 00:00
13,大阪市高速電気軌道南港ポートタウン線,住之江公園,1981/03/01 00:00
14,大阪市高速電気軌道南港ポートタウン線,中ふ頭,1981/03/01 00:00
15,大阪市高速電気軌道南港ポートタウン線,南港東,1981/03/01 00:00
16,大阪市高速電気軌道南港ポートタウン線,南港口,1981/03/01 00:00
17,大阪市高速電気軌道南港ポートタウン線,ポートタウン東,1981/03/01 00:00
18,大阪市高速電気軌道南港ポートタウン線,平林,1981/03/01 00:00
19,東海旅客鉄道東海道新幹線,新横浜,1985/01/01 00:00
20,東日本旅客鉄道東北新幹線,新花巻,1985/03/01 00:00
21,東日本旅客鉄道東北新幹線,水沢江刺,1985/03/01 00:00
22,横浜シーサイドライン金沢シーサイドライン,海の公園南口,1989/07/01 00:00
23,横浜シーサイドライン金沢シーサイドライン,鳥浜,1989/07/01 00:00
24,横浜シーサイドライン金沢シーサイドライン,並木北,1989/07/01 00:00
25,横浜シーサイドライン金沢シーサイドライン,並木中央,1989/07/01 00:00
26,横浜シーサイドライン金沢シーサイドライン,幸浦,1989/07/01 00:00
27,横浜シーサイドライン金沢シーサイドライン,産業振興センター,1989/07/01 00:00
28,横浜シーサイドライン金沢シーサイドライン,福浦,1989/07/01 00:00
29,横浜シーサイドライン金沢シーサイドライン,市大医学部,1989/07/01 00:00
30,横浜シーサイドライン金沢シーサイドライン,八景島,1989/07/01 00:00
31,横浜シーサイドライン金沢シーサイドライン,新杉田,1989/07/01 00:00
32,横浜シーサイドライン金沢シーサイドライン,野島公園,1989/07/01 00:00
33,横浜シーサイドライン金沢シーサイドライン,金沢八景,1989/07/01 00:00
34,横浜シーサイドライン金沢シーサイドライン,南部市場,1989/07/01 00:00
35,横浜シーサイドライン金沢シーサイドライン,海の公園柴口,1989/07/01 00:00
36,神戸新交通六甲アイランド線,住吉,1990/02/01 00:00
37,神戸新交通六甲アイランド線,南魚崎,1990/02/01 00:00
38,神戸新交通六甲アイランド線,アイランド北口,1990/02/01 00:00
39,神戸新交通六甲アイランド線,アイランドセンター,1990/02/01 00:00
40,神戸新交通六甲アイランド線,マリンパーク,1990/02/01 00:00
41,神戸新交通六甲アイランド線,魚崎,1990/02/01 00:00
42,東日本旅客鉄道東北新幹線,くりこま高原,1990/03/01 00:00
43,埼玉高速鉄道埼玉高速鉄道線,赤羽岩淵,1991/11/01 00:00
44,東京地下鉄南北線,赤羽岩淵,1991/11/01 00:00
45,東京地下鉄南北線,志茂,1991/11/01 00:00
46,東京地下鉄南北線,王子神谷,1991/11/01 00:00
47,東京地下鉄南北線,王子,1991/11/01 00:00
48,東京地下鉄南北線,駒込,1991/11/01 00:00
49,東京地下鉄南北線,西ケ原,1991/11/01 00:00
50,広島高速交通広島新交通1号線,城北,1994/08/01 00:00
51,広島高速交通広島新交通1号線,大町,1994/08/01 00:00
52,広島高速交通広島新交通1号線,毘沙門台,1994/08/01 00:00
53,広島高速交通広島新交通1号線,不動院前,1994/08/01 00:00
54,広島高速交通広島新交通1号線,安東,1994/08/01 00:00
55,広島高速交通広島新交通1号線,上安,1994/08/01 00:00
56,広島高速交通広島新交通1号線,高取,1994/08/01 00:00
57,広島高速交通広島新交通1号線,長楽寺,1994/08/01 00:00
58,広島高速交通広島新交通1号線,伴,1994/08/01 00:00
59,広島高速交通広島新交通1号線,大原,1994/08/01 00:00
60,広島高速交通広島新交通1号線,伴中央,1994/08/01 00:00
61,広島高速交通広島新交通1号線,広域公園前,1994/08/01 00:00
