,Unnamed: 0,date,line,place,injury,url,archive,sentence,tweets
0,0,2022/11/07 02:55,山陽本線_(JR西日本),福川駅〜戸田駅,女性/死亡,https://jinshinjiko.com/accidents/14891,https://archive.ph/t7Z4J,,3
1,1,2022/11/07 00:13,北陸本線,大聖寺駅〜加賀温泉駅,,https://jinshinjiko.com/accidents/14895,,,11
2,2,2022/11/06 23:38,京急本線,京急川崎駅〜八丁畷駅,,https://jinshinjiko.com/accidents/14894,,,9
3,3,2022/11/06 15:20,西武池袋線,元加治駅〜仏子駅,女性/死亡,https://jinshinjiko.com/accidents/14892,https://archive.ph/EZO3E,,10
4,4,2022/11/04 23:09,南海本線,七道駅,,https://jinshinjiko.com/accidents/14897,,,70
5,5,2022/11/04 17:50,山陽電気鉄道本線,須磨寺駅,80歳/女性/死亡,https://jinshinjiko.com/accidents/14893,https://archive.ph/9YWj6,,88
6,6,2022/11/04 17:03,琵琶湖線,彦根駅〜南彦根駅,,https://jinshinjiko.com/accidents/14896,,,16
7,7,2022/11/04 13:10,日豊本線,三股駅〜都城駅,20代/男性/軽傷,https://jinshinjiko.com/accidents/14890,https://archive.ph/d4hXA,,20
8,8,2022/11/04 13:03,鹿児島本線,竹下駅,軽傷,https://jinshinjiko.com/accidents/14889,https://archive.ph/qhu1y,,80
9,9,2022/11/03 16:54,常磐線,柏駅,男性/死亡,https://jinshinjiko.com/accidents/14888,https://archive.ph/lbYF0,,301
