,路線名,駅名,人身事故回数,index
0,西日本旅客鉄道山陽線,福川駅,9,"[0, 2772, 3859, 4449, 7439, 8139, 9556, 13407, 14771]"
1,西日本旅客鉄道山陽線,戸田駅,6,"[0, 2008, 2772, 3110, 4449, 5578]"
2,西日本旅客鉄道北陸本線,大聖寺駅,3,"[1, 10982, 12330]"
3,西日本旅客鉄道北陸本線,加賀温泉駅,3,"[1, 10982, 12330]"
4,京浜急行電鉄京急本線,京急川崎駅,15,"[2, 1025, 1398, 1466, 4814, 6235, 8371, 9245, 10381, 10388, 10943, 11183, 11549, 12606, 14556]"
5,京浜急行電鉄京急本線,八丁畷駅,31,"[2, 852, 1025, 1398, 1466, 1548, 1895, 1916, 2663, 2808, 3289, 3756, 4468, 4814, 5750, 6103, 6235, 6408, 7953, 8371, 9170, 9245, 10381, 10388, 10943, 11145, 11343, 11822, 11866, 14275, 14556]"
6,西武鉄道西武池袋線,元加治駅,13,"[3, 341, 2568, 2881, 3761, 4343, 4883, 4884, 5457, 6360, 10363, 11138, 11474]"
7,西武鉄道西武池袋線,仏子駅,6,"[3, 3244, 4343, 6424, 8028, 11138]"
8,南海電気鉄道南海本線,七道駅,2,"[4, 3952]"
9,山陽電気鉄道本線,須磨寺駅,2,"[5, 4159]"
10,"['西日本旅客鉄道東海道線', '西日本旅客鉄道北陸本線']",彦根駅,10,"[6, 3961, 4158, 5427, 5493, 8813, 9901, 10125, 13150, 13768]"
11,"['西日本旅客鉄道東海道線', '西日本旅客鉄道北陸本線']",南彦根駅,10,"[6, 747, 2940, 3961, 4158, 5493, 7180, 10125, 13569, 13768]"
12,九州旅客鉄道日豊本線,三股駅,5,"[7, 1124, 2446, 5058, 10333]"
13,九州旅客鉄道日豊本線,都城駅,4,"[7, 2446, 5058, 10333]"
14,九州旅客鉄道鹿児島本線,竹下駅,13,"[8, 1803, 2269, 2311, 3434, 4481, 5190, 5611, 8200, 8715, 9205, 10879, 13293]"
15,東日本旅客鉄道常磐線,柏駅,32,"[9, 395, 1294, 1631, 2048, 3257, 3657, 3869, 4149, 5675, 5897, 6236, 6639, 6765, 7613, 7687, 8922, 9242, 9309, 9842, 11254, 11492, 11758, 11935, 11954, 12140, 12732, 13265, 13337, 13576, 14395, 14762]"
16,小田急電鉄小田急江ノ島線,大和駅,25,"[10, 424, 585, 1081, 1814, 2174, 2344, 3116, 3266, 4034, 4511, 5306, 5880, 6116, 6926, 7121, 7633, 8542, 10591, 10953, 12257, 12850, 13236, 13359, 13507]"
17,小田急電鉄小田急江ノ島線,桜ヶ丘駅,18,"[10, 424, 2174, 3266, 3564, 4034, 4511, 4758, 6926, 7121, 7380, 7536, 8542, 10953, 11117, 11119, 12801, 13359]"
18,阪急電鉄阪急京都本線,高槻市駅,10,"[11, 3846, 4154, 5459, 7051, 8973, 11283, 13389, 14348, 14573]"
19,東日本旅客鉄道両毛線,栃木駅,2,"[12, 2286]"
20,東日本旅客鉄道両毛線,思川駅,4,"[12, 2286, 6954, 14857]"
21,西日本旅客鉄道山陽線,倉敷駅,14,"[13, 1629, 3138, 6570, 6933, 7012, 8135, 8875, 9261, 9587, 10443, 10717, 13202, 14625]"
22,西日本旅客鉄道山陽線,西阿知駅,8,"[13, 3970, 5634, 6570, 8135, 8249, 9587, 10717]"
23,京王電鉄京王線,多磨霊園駅,8,"[14, 287, 403, 595, 2307, 8834, 9755, 10972]"
24,京王電鉄京王線,東府中駅,11,"[14, 486, 859, 1269, 2934, 8412, 9100, 9755, 13892, 14310, 14443]"
