,駅数,事業者名,路線名,駅名,所在地,ホームの形状,設置ホーム（番線）,ホームドアの種別,設置年月,備考,Unnamed: 10,当該路線の設置状況,path
0,1.0,JR北海道,北海道新幹線,奥津軽いまべつ,青森県東津軽郡,相対式2面3線,11・12番線,可動式ホーム柵,2016/03/01 00:00,,,◎全駅,/home/zaiying/A-Pastani/data/JR北/北海道旅客鉄道北海道新幹線_addRailname.geojson
1,2.0,JR北海道,北海道新幹線,木古内,北海道上磯郡,相対式2面3線,11・12番線,可動式ホーム柵,2016/03/01 00:00,,,,/home/zaiying/A-Pastani/data/JR北/北海道旅客鉄道北海道新幹線_addRailname.geojson
2,3.0,JR北海道,北海道新幹線,新函館北斗,北海道北斗市,相対式・島式2面2線,11・12番線,可動式ホーム柵,2016/03/01 00:00,,在来線ホームは未設置,,/home/zaiying/A-Pastani/data/JR北/北海道旅客鉄道北海道新幹線_addRailname.geojson
3,1.0,JR東日本,東北新幹線,くりこま高原,宮城県栗原市,相対式2面2線,11・12番線,可動式ホーム柵,1990/03/01 00:00,,,△一部の駅,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北新幹線_addRailname.geojson
4,2.0,JR東日本,東北新幹線,水沢江刺,岩手県奥州市,相対式2面2線,1・2番線,可動式ホーム柵,1985/03/01 00:00,,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北新幹線_addRailname.geojson
5,3.0,JR東日本,東北新幹線,新花巻,岩手県花巻市,相対式2面2線,1・2番線,可動式ホーム柵,1985/03/01 00:00,,在来線ホームは未設置,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北新幹線_addRailname.geojson
6,4.0,JR東日本,東北新幹線,いわて沼宮内,岩手県岩手町,相対式2面2線,1・2番線,可動式ホーム柵,2002/12/01 00:00,,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北新幹線_addRailname.geojson
7,5.0,JR東日本,東北新幹線,二戸,岩手県二戸市,相対式2面2線,1・2番線,可動式ホーム柵,2002/12/01 00:00,,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北新幹線_addRailname.geojson
8,6.0,JR東日本,東北新幹線,八戸,青森県八戸市,島式2面4線,12・13番線のみ,可動式ホーム柵,2002/12/01 00:00,,11・14番線（外側）は未設置、在来線ホーム（1・2・3・4・5番線）は未設置,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北新幹線_addRailname.geojson
9,7.0,JR東日本,東北新幹線,七戸十和田,青森県七戸町,相対式2面2線,1・2番線,可動式ホーム柵,2010/12/01 00:00,,,,/home/zaiying/A-Pastani/data/JR東/東日本旅客鉄道東北新幹線_addRailname.geojson
