date,value
1974/01/01,1
1977/12/01,2
1981/02/01,11
1981/03/01,19
1985/01/01,20
1985/03/01,22
1989/07/01,36
1990/02/01,42
1990/03/01,43
1991/11/01,50
1994/08/01,71
1995/11/01,82
1996/03/01,88
1997/09/01,90
1997/10/01,106
1997/12/01,108
1998/08/01,111
1998/11/01,119
2000/01/01,130
2000/04/01,133
2000/05/01,138
2000/06/01,144
2000/07/01,149
2000/08/01,164
2000/09/01,170
2001/03/01,177
2001/06/01,178
2001/07/01,183
2002/02/01,184
2002/09/01,194
2002/11/01,195
2002/12/01,198
2003/03/01,201
2003/08/01,216
2003/10/01,217
2004/03/01,235
2004/05/01,239
2004/10/01,250
2004/11/01,252
2004/12/01,253
2005/02/01,269
2005/03/01,278
2005/08/01,298
2006/01/01,305
2006/02/01,308
2006/03/01,312
2006/04/01,313
2006/06/01,315
2006/07/01,317
2006/08/01,318
2006/09/01,320
2006/10/01,321
2006/11/01,322
2006/12/01,335
2007/02/01,337
2007/03/01,338
2007/04/01,352
2007/05/01,357
2007/06/01,363
2007/07/01,369
2007/08/01,374
2007/09/01,380
2008/01/01,382
2008/03/01,405
2008/05/01,406
2008/06/01,421
2008/09/01,423
2008/10/01,426
2008/11/01,429
2008/12/01,433
2009/01/01,435
2009/02/01,438
2009/03/01,439
2009/10/01,442
2009/11/01,446
2009/12/01,450
2010/01/01,453
2010/02/01,456
2010/03/01,456
2010/04/01,456
2010/05/01,456
2010/06/01,457
2010/07/01,458
2010/08/01,462
2010/09/01,469
2010/10/01,477
2010/11/01,478
2010/12/01,483
2011/01/01,487
2011/02/01,492
2011/03/01,506
2011/04/01,510
2011/05/01,512
2011/06/01,515
2011/07/01,520
2011/08/01,523
2011/09/01,525
2011/10/01,529
2011/11/01,532
2011/12/01,534
2012/01/01,535
2012/02/01,539
2012/03/01,544
2012/04/01,547
2012/05/01,549
2012/06/01,551
2012/07/01,556
2012/08/01,561
2012/09/01,567
2012/10/01,571
2012/11/01,574
2012/12/01,579
2013/01/01,582
2013/02/01,586
2013/03/01,593
2013/04/01,596
2013/05/01,596
2013/06/01,600
2013/07/01,600
2013/08/01,601
2013/09/01,602
2013/10/01,603
2013/11/01,605
2013/12/01,607
2014/01/01,607
2014/02/01,608
2014/03/01,612
2014/04/01,613
2014/05/01,615
2014/06/01,618
2014/07/01,619
2014/08/01,622
2014/09/01,623
2014/10/01,626
2014/11/01,628
2014/12/01,632
2015/01/01,633
2015/02/01,637
2015/03/01,651
2015/04/01,652
2015/05/01,652
2015/06/01,653
2015/07/01,653
2015/08/01,653
2015/09/01,657
2015/10/01,663
2015/11/01,668
2015/12/01,689
2016/01/01,691
2016/02/01,697
2016/03/01,707
2016/04/01,708
2016/05/01,709
2016/06/01,710
2016/07/01,710
2016/08/01,712
2016/09/01,714
2016/10/01,716
2016/11/01,720
2016/12/01,724
2017/01/01,725
2017/02/01,728
2017/03/01,732
2017/04/01,734
2017/05/01,735
2017/06/01,737
2017/07/01,740
2017/08/01,740
2017/09/01,743
2017/10/01,746
2017/11/01,748
2017/12/01,754
2018/01/01,754
2018/02/01,760
2018/03/01,775
2018/04/01,779
2018/05/01,781
2018/06/01,785
2018/07/01,789
2018/08/01,793
2018/09/01,802
2018/10/01,806
2018/11/01,811
2018/12/01,822
2019/01/01,824
2019/02/01,831
2019/03/01,851
2019/04/01,859
2019/05/01,861
2019/06/01,868
2019/07/01,871
2019/08/01,874
2019/09/01,884
2019/10/01,894
2019/11/01,902
2019/12/01,911
2020/01/01,912
2020/02/01,922
2020/03/01,943
2020/04/01,943
2020/05/01,943
2020/06/01,943
2020/07/01,943
2020/08/01,943
2020/09/01,943
2020/10/01,943
2020/11/01,943
2020/12/01,943
2021/01/01,943
2021/02/01,943
2021/03/01,943
2021/04/01,943
2021/05/01,943
2021/06/01,943
2021/07/01,943
2021/08/01,943
2021/09/01,943
2021/10/01,943
2021/11/01,943
2021/12/01,943
2022/01/01,943
2022/02/01,943
2022/03/01,943
2022/04/01,943
2022/05/01,943
2022/06/01,943
2022/07/01,943
2022/08/01,943
2022/09/01,943
2022/10/01,943
2022/11/01,943
