name,date,longitude,latitude
奥津軽いまべつ,2016/03/01,140.515555,41.145005
木古内,2016/03/01,140.433158,41.677584
新函館北斗,2016/03/01,140.650202,41.904232
くりこま高原,1990/03/01,141.07157,38.74885
水沢江刺,1985/03/01,141.18822,39.14651
新花巻,1985/03/01,141.17318,39.40523
いわて沼宮内,2002/12/01,141.21742,39.96114
二戸,2002/12/01,141.28627,40.26107
八戸,2002/12/01,141.43206,40.51043
七戸十和田,2010/12/01,141.152362,40.720459
新青森,2010/12/01,140.69347,40.828104
新潟,2018/04/01,139.06412,37.91257
安中榛名,1997/10/01,138.84881,36.3625
軽井沢,2017/04/01,138.63567,36.34258
佐久平,1997/10/01,138.46499,36.2783
上田,1997/10/01,138.25023,36.39614
飯山,2015/03/01,138.359982,36.843984
上越妙高,2015/03/01,138.249603,37.080263
恵比寿,2010/06/01,139.70971,35.64743
目黒,2010/08/01,139.71585,35.63284
大崎,2012/12/01,139.72888,35.61912
池袋,2013/03/01,139.71167,35.73152
大塚,2013/04/01,139.72893,35.73154
巣鴨,2013/06/01,139.74144,35.73419
駒込,2013/08/01,139.74909,35.73736
新大久保,2013/09/01,139.70032,35.70175
目白,2013/11/01,139.70596,35.71933
高田馬場,2013/12/01,139.70403,35.71349
田町,2014/03/01,139.74824,35.64611
御徒町,2014/05/01,139.77486,35.70807
西日暮里,2014/06/01,139.76675,35.73213
有楽町,2014/08/01,139.76254,35.67448
鶯谷,2014/10/01,139.77741,35.72206
原宿,2014/12/01,139.70264,35.6711
田端,2015/02/01,139.76067,35.73826
五反田,2015/03/01,139.72321,35.62672
秋葉原,2015/06/01,139.77317,35.69935
代々木,2015/10/01,139.70203,35.6845
上野,2015/12/01,139.77507,35.71205
神田,2016/02/01,139.77054,35.69096
日暮里,2016/03/01,139.77092,35.72822
品川,2016/08/01,139.73863,35.627
高輪ゲートウェイ,2020/03/01,139.740237,35.63443
新橋,2019/10/01,139.75814,35.6672
浜松町,2020/03/01,139.75728,35.65614
赤羽,2017/03/01,139.72135,35.77748
さいたま新都心,2017/09/01,139.63308,35.89478
浦和,2017/10/01,139.65763,35.85777
上野,2017/12/01,139.77507,35.71205
御徒町,2018/12/01,139.77486,35.70807
王子,2019/02/01,139.73751,35.75302
秋葉原,2019/02/01,139.77317,35.69935
南浦和,2019/02/01,139.6676,35.84922
西日暮里,2019/04/01,139.76675,35.73213
川口,2019/06/01,139.71758,35.80169
西川口,2019/07/01,139.70375,35.81613
神田,2019/10/01,139.77054,35.69096
北浦和,2019/12/01,139.64652,35.8715
蕨,2020/02/01,139.69116,35.82721
新小岩,2018/12/01,139.85679,35.71623
町田,2017/07/01,139.4475,35.54106
拝島,2015/03/01,139.34386,35.72117
東京,2013/03/01,139.76811,35.68099
品川,2003/10/01,139.74007,35.62964
