駅数,事業者名,路線名,駅名,所在地,ホームの形状,設置ホーム（番線）,ホームドアの種別,設置年月,備考,,当該路線の設置状況
1,JR北海道,北海道新幹線,奥津軽いまべつ,青森県東津軽郡,相対式2面3線,11・12番線,可動式ホーム柵,H28.3,,,◎全駅
2,JR北海道,北海道新幹線,木古内,北海道上磯郡,相対式2面3線,11・12番線,可動式ホーム柵,H28.3,,,
3,JR北海道,北海道新幹線,新函館北斗,北海道北斗市,相対式・島式2面2線,11・12番線,可動式ホーム柵,H28.3,,在来線ホームは未設置,
1,JR東日本,東北新幹線,くりこま高原,宮城県栗原市,相対式2面2線,11・12番線,可動式ホーム柵,H2.3,,,△一部の駅
2,JR東日本,東北新幹線,水沢江刺,岩手県奥州市,相対式2面2線,1・2番線,可動式ホーム柵,S60.3,,,
3,JR東日本,東北新幹線,新花巻,岩手県花巻市,相対式2面2線,1・2番線,可動式ホーム柵,S60.3,,在来線ホームは未設置,
4,JR東日本,東北新幹線,いわて沼宮内,岩手県岩手町,相対式2面2線,1・2番線,可動式ホーム柵,H14.12,,,
5,JR東日本,東北新幹線,二戸,岩手県二戸市,相対式2面2線,1・2番線,可動式ホーム柵,H14.12,,,
6,JR東日本,東北新幹線,八戸,青森県八戸市,島式2面4線,12・13番線のみ,可動式ホーム柵,H14.12,,11・14番線（外側）は未設置、在来線ホーム（1・2・3・4・5番線）は未設置,
7,JR東日本,東北新幹線,七戸十和田,青森県七戸町,相対式2面2線,1・2番線,可動式ホーム柵,H22.12,,,
8,JR東日本,東北新幹線,新青森,青森県青森市,島式2面4線,11・12・13・14番線,可動式ホーム柵,H22.12,,在来線ホーム（1・2番線）は未設置,
9,JR東日本,上越新幹線,新潟,新潟県新潟市,島式3面4線,11番線(5番線側)ホーム,可動式ホーム柵,H30.4,,"11（12番線側）,12,13,14番線ホーム及び在来線は未設置",△一部の駅
10,JR東日本,北陸新幹線,安中榛名,群馬県安中市,相対式2面2線,1・2番線,可動式ホーム柵,H9.10,,,△一部の駅
11,JR東日本,北陸新幹線,軽井沢,長野県軽井沢町,相対式2面4線,2・3番線,可動式ホーム柵,H29.4,,1・4番線ホームは未設置,
12,JR東日本,北陸新幹線,佐久平,長野県佐久市,相対式2面2線,1・2番線,可動式ホーム柵,H9.10,,在来線ホームは未設置,
13,JR東日本,北陸新幹線,上田,長野県上田市,相対式2面2線,1・2番線,可動式ホーム柵,H9.10,,,
14,JR東日本,北陸新幹線,飯山,長野県飯山市,相対式2面2線,11・12番線,可動式ホーム柵,H27.3,,在来線ホームは未設置,
15,JR東日本,北陸新幹線,上越妙高,新潟県上越市,相対式2面4線,11・12・13・14番線,可動式ホーム柵,H27.3,,,
16,JR東日本,山手線,恵比寿,東京都渋谷区,島式1面2線,1・2番線,可動式ホーム柵,H22.6,○,ＪＲ東日本埼京線・湘南新宿ラインホーム（3・4番線）は未設置,△一部の駅
17,JR東日本,山手線,目黒,東京都品川区,島式1面2線,1・2番線,可動式ホーム柵,H22.8,○,,
18,JR東日本,山手線,大崎,東京都品川区,島式2面4線,1･3番線,可動式ホーム柵,H24.12,○,始発、終着ホーム（2・4番線）及び山手線以外は未設置,
19,JR東日本,山手線,池袋,東京都豊島区,島式2面4線,6･7番線,可動式ホーム柵,H25.3,○,始発、終着ホーム（5・8番線）及び山手線以外は未設置,
20,JR東日本,山手線,大塚,東京都豊島区,島式1面2線,1・2番線,可動式ホーム柵,H25.4,○,,
21,JR東日本,山手線,巣鴨,東京都豊島区,島式1面2線,1・2番線,可動式ホーム柵,H25.6,○,,
22,JR東日本,山手線,駒込,東京都豊島区,島式1面2線,1・2番線,可動式ホーム柵,H25.8,,,
23,JR東日本,山手線,新大久保,東京都新宿区,島式1面2線,1・2番線,可動式ホーム柵,H25.9,○,,
24,JR東日本,山手線,目白,東京都豊島区,島式1面2線,1・2番線,可動式ホーム柵,H25.11,,,
25,JR東日本,山手線,高田馬場,東京都新宿区,島式1面2線,1・2番線,可動式ホーム柵,H25.12,○,,
26,JR東日本,山手線,田町,東京都港区,島式2面4線,2･3番線,可動式ホーム柵,H26.3,○,ＪＲ東日本京浜東北線ホーム（1・4番線）は未設置,
27,JR東日本,山手線,御徒町,東京都台東区,島式2面4線,2･3番線,可動式ホーム柵,H26.5,○,,
28,JR東日本,山手線,西日暮里,東京都荒川区,島式2面4線,2･3番線,可動式ホーム柵,H26.6,○,ＪＲ東日本京浜東北線ホーム（1・4番線）は未設置,
29,JR東日本,山手線,有楽町,東京都千代田区,島式2面4線,2･3番線,可動式ホーム柵,H26.8,○,,
30,JR東日本,山手線,鶯谷,東京都台東区,島式2面4線,2･3番線,可動式ホーム柵,H26.10,,ＪＲ東日本京浜東北線ホーム（1・4番線）は未設置,
31,JR東日本,山手線,原宿,東京都渋谷区,島式1面2線,1･2番線,可動式ホーム柵,H26.12,○,,
32,JR東日本,山手線,田端,東京都北区,島式2面4線,2･3番線,可動式ホーム柵,H27.2,,ＪＲ東日本京浜東北線ホーム（1・4番線）は未設置,
